publish_date,neg,neu,pos,compound,sentiment
2001-10-18,0.119,0.816,0.066,-0.9973,negative
2001-10-19,0.128,0.817,0.055,-0.998,negative
2001-10-20,0.113,0.831,0.056,-0.9983,negative
2001-10-21,0.105,0.833,0.063,-0.9954,negative
2001-10-22,0.141,0.777,0.082,-0.9975,negative
2001-10-23,0.163,0.766,0.07,-0.9993,negative
2001-10-24,0.138,0.786,0.076,-0.996,negative
2001-10-25,0.147,0.77,0.082,-0.9974,negative
2001-10-26,0.102,0.833,0.065,-0.993,negative
2001-10-27,0.136,0.806,0.058,-0.9983,negative
2001-10-28,0.116,0.839,0.045,-0.9963,negative
2001-10-29,0.16,0.772,0.068,-0.9992,negative
2001-10-30,0.161,0.768,0.072,-0.9996,negative
2001-10-31,0.128,0.807,0.065,-0.9973,negative
2001-11-01,0.077,0.859,0.063,-0.971,negative
2001-11-02,0.08,0.867,0.053,-0.9848,negative
2001-11-03,0.124,0.78,0.096,-0.9954,negative
2001-11-04,0.111,0.822,0.067,-0.9964,negative
2001-11-05,0.089,0.837,0.073,-0.9387,negative
2001-11-06,0.142,0.79,0.067,-0.9983,negative
2001-11-07,0.14,0.802,0.058,-0.9991,negative
2001-11-08,0.133,0.798,0.069,-0.9988,negative
2001-11-09,0.088,0.827,0.084,-0.9051,negative
2001-11-10,0.124,0.787,0.089,-0.9949,negative
2001-11-11,0.124,0.762,0.114,-0.8823,negative
2001-11-12,0.122,0.8,0.078,-0.9968,negative
2001-11-13,0.097,0.825,0.078,-0.9827,negative
2001-11-14,0.13,0.745,0.125,-0.7652,negative
2001-11-15,0.101,0.834,0.065,-0.957,negative
2001-11-16,0.111,0.815,0.074,-0.9953,negative
2001-11-17,0.17,0.766,0.064,-0.999,negative
2001-11-18,0.144,0.747,0.109,-0.9957,negative
2001-11-19,0.15,0.775,0.075,-0.9976,negative
2001-11-20,0.13,0.8,0.07,-0.9986,negative
2001-11-21,0.098,0.843,0.059,-0.9971,negative
2001-11-22,0.119,0.807,0.074,-0.998,negative
2001-11-23,0.105,0.82,0.075,-0.9898,negative
2001-11-24,0.142,0.767,0.091,-0.9982,negative
2001-11-25,0.118,0.804,0.078,-0.9939,negative
2001-11-26,0.105,0.827,0.068,-0.9941,negative
2001-11-27,0.126,0.784,0.09,-0.998,negative
2001-11-28,0.123,0.81,0.067,-0.9976,negative
2001-11-29,0.118,0.82,0.062,-0.9976,negative
2001-11-30,0.142,0.781,0.078,-0.9993,negative
2001-12-01,0.135,0.793,0.072,-0.9985,negative
2001-12-02,0.142,0.79,0.067,-0.9978,negative
